name;unitDetalPrice;basicDiscount;additionalDiscount;promotionDiscount;skontoDiscount
Dachówka podstawowa;4.38;0;0;0;3
Dachówka krawędziowa lewa;31.98;0;0;0;3
Dachówka krawędziowa prawa;31.98;0;0;0;3
Dachówka połówkowa;0.00;0;0;0;3
Dachówka wentylacyjna;31.98;0;0;0;3
Komplet kominka wentylacyjnego;318.98;0;0;0;3
Gąsior podstawowy;26.82;0;0;0;3
Gąsior początkowy kalenica prosta;56.34;0;0;0;3
Gąsior końcowy kalenica prosta;56.34;0;0;0;3
Płytka początkowa;0.00;0;0;0;3
Płytka końcowa;41.96;0;0;0;3
Trójnik;279.37;0;0;0;3
Gąsior zaokrąglony;78.22;0;0;0;3
