name;unitDetalPrice;basicDiscount;additionalDiscount;promotionDiscount;skontoDiscount
Dachówka podstawowa;5.67;0;0;0;3
Dachówka krawędziowa lewa;42.00;0;0;0;3
Dachówka krawędziowa prawa;42.00;0;0;0;3
Dachówka wentylacyjna;45.90;0;0;0;3
Kominewk wentylacyjny 100 komplet;284.00;0;0;0;3
Kominewk wentylacyjny 125 komplet;340.00;0;0;0;3
Gąsior podstawowy PT;32.30;0;0;0;3
Klamra gąsiora podstawowego PT;1.00;0;0;0;3
Gąsior pocztątkowy zaokrąglony PT;111.30;0;0;0;3
Zaślepka systemowa końcowa/początkowa PT;112.50;0;0;0;3
Trójnik PT;434.40;0;0;0;3
Czwórnik PT;1076.90;0;0;0;3
